lat_x,lon_x,course,speed,timestamp,distance_from_shore,distance_from_port,mmsi,doy,dow,season,year,month,day,hour,sst,precip,speed_expand_mean,course_expand_mean,speed_rolling_mean,course_rolling_mean,speed_rolling_mean_3h,course_rolling_mean_3h,speed_rolling_mean_12h,course_rolling_mean_12h,speed_rolling_mean_1d,course_rolling_mean_1d,speed_rolling_mean_3d,course_rolling_mean_3d,source_crowd_sourced,source_dalhousie_longliner,source_dalhousie_ps,source_dalhousie_trawl,source_false_positives,source_gfw,gear_type_drifting_longlines,gear_type_fixed_gear,gear_type_pole_and_line,gear_type_purse_seines,gear_type_trawlers,gear_type_trollers,hemisphere_ns_north,hemisphere_ns_south,hemisphere_ew_east,hemisphere_ew_west
0.7702811779670284,0.14666275981725724,0.5968688845401173,0.10068425897098512,2.161113813411127,0.0009317971937625657,0.0007531977763925677,-0.0044722563314607095,0.263013698630137,0.3333333333333333,0.25,2.25,0.2727272727272727,0.2,0.34782608695652173,0.24409118633729798,0.03412427527389455,0.511574087650383,0.5499732989955347,0.09785550635303882,0.4782778864970649,0.15446166930022948,0.4782778864970609,0.16053148269405487,0.5143453120837276,0.35136541080869843,0.5429004142795316,0.4491870023393191,0.5499732989955347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.7637537045895031,0.14941144269505885,0.324853228962818,0.10263929312576153,2.1614273666130117,0.0009160277790505253,0.0007223902683978013,-0.0044722563314607095,0.263013698630137,0.3333333333333333,0.25,2.25,0.2727272727272727,0.2,0.8260869565217391,0.25461266849649283,0.0219549366490233,0.5153256841386632,0.5481529568576193,0.10306058647820045,0.41174168297455993,0.17253697102685206,0.3248532289628155,0.22596414848091625,0.560180780209322,0.3561350770052009,0.5679359584595403,0.452481087050093,0.5481529568576193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.7642817514029957,0.149506167390494,0.3287671232876712,0.11730204928658461,2.1614366800744538,0.0009188312305548881,0.0007236473786919903,-0.0044722563314607095,0.263013698630137,0.3333333333333333,0.25,2.25,0.2727272727272727,0.2,0.8695652173913043,0.25461266849649283,0.0219549366490233,0.5207156446981264,0.5464850692484867,0.10680824416831683,0.36829745596868907,0.18486104038591292,0.32681017612524205,0.24443237215483726,0.39724072312083564,0.3521700103403589,0.5314382718303754,0.45721373533091647,0.5464850692484867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.763783987121635,0.14948283344792346,0.08414872798434442,0.00782013661910564,2.1614761514110423,0.0009163782104885706,0.0007223852417663891,-0.0044722563314607095,0.263013698630137,0.3333333333333333,0.25,2.25,0.2727272727272727,0.2,0.9130434782608695,0.25461266849649283,0.0219549366490233,0.5129629765760678,0.5392955509343661,0.08973558135778664,0.3835616438356167,0.12762258492375206,0.24592302681017422,0.16874886730228567,0.29892166198858106,0.3350481316562088,0.5263954997836424,0.4504065145628095,0.5392955509343661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.7638311535207869,0.14951533429650382,0.08806262230919765,0.0391006830955282,2.1614872388651403,0.0009163782104885706,0.0007222680378812593,-0.0044722563314607095,0.263013698630137,0.3333333333333333,0.25,2.25,0.2727272727272727,0.2,0.9565217391304348,0.25461266849649283,0.0219549366490233,0.5091074816128128,0.532429527229374,0.07828440508243105,0.28454011741682994,0.11214903116745384,0.2064579256360062,0.1482889724406013,0.2509514747859171,0.329143786958491,0.5100129813933352,0.4470212019230841,0.532429527229374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.7640073498394574,0.14948838914853546,0.6203522504892367,0.0791788832684446,2.1614921173449435,0.0009170790733646612,0.0007227276273756336,-0.0044722563314607095,0.263013698630137,0.3333333333333333,0.25,2.25,0.2727272727272727,0.2,0.9565217391304348,0.25461266849649283,0.0219549366490233,0.509968651496739,0.5375295490139296,0.07370393457228881,0.2892367906066538,0.11633921474953453,0.28923679060665136,0.15382943954277759,0.3515699333967635,0.3428268714960592,0.5283946343574201,0.4477773510870153,0.5375295490139296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.763957317829848,0.1495114453060754,0.24070450097847357,0.044965785559857425,2.161496995824745,0.0009170790733646612,0.0007227276273756336,-0.0044722563314607095,0.263013698630137,0.3333333333333333,0.25,2.25,0.2727272727272727,0.2,0.9565217391304348,0.25461266849649283,0.0219549366490233,0.5069444578749522,0.534223992550586,0.061419945476907344,0.27240704500978485,0.10954728319712946,0.281148075733853,0.1448488131360349,0.3417380273548986,0.33793181651188664,0.5203541589787961,0.44512196157402556,0.534223992550586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.7638562469745227,0.14949950054975952,0.3913894324853229,0.055718473411127685,2.1615032047990397,0.0009163782104885706,0.0007222680378812593,-0.0044722563314607095,0.263013698630137,0.3333333333333333,0.25,2.25,0.2727272727272727,0.2,0.9565217391304348,0.25461266849649283,0.0219549366490233,0.5052083467178462,0.5342425831885801,0.048303143561500006,0.28493150684931523,0.10727808947543876,0.2968968409001933,0.14184837343757917,0.36088079376783855,0.3375785650980878,0.5114668974469917,0.4435975712946625,0.5342425831885801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.7637396088840094,0.14949200035393329,0.3385518590998043,0.029325512321646152,2.161508083278843,0.0009160277790505253,0.0007220383385220069,-0.0044722563314607095,0.263013698630137,0.3333333333333333,0.25,2.25,0.2727272727272727,0.2,0.9565217391304348,0.25461266849649283,0.0219549366490233,0.5006410388885109,0.5331485887670738,0.05288361407164225,0.33581213307240726,0.08967227609596208,0.2988537880626199,0.13226507248822864,0.3672098001902934,0.3300016831822025,0.5090703325832963,0.43958725223795897,0.5331485887670738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.763297840179967,0.1496508933914374,0.21330724070450097,0.00782013661910564,2.161545337124611,0.0009139251904222532,0.000720073360097989,-0.0044722563314607095,0.26575342465753427,0.5,0.25,2.25,0.2727272727272727,0.23333333333333334,0.0,0.25461266849649283,0.0219549366490233,0.49389731947373816,0.5294917997795267,0.046221111511435355,0.36086105675146796,0.06338092812996556,0.28235951917808005,0.11950027083125378,0.3552172533301603,0.31916783947460065,0.5006971490263945,0.43366593764899675,0.5294917997795267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.7632750701941695,0.14968728323044617,0.2446183953033268,0.04203323432769281,2.1615546505860532,0.0009139251904222532,0.0007198387612912374,-0.0044722563314607095,0.26575342465753427,0.5,0.25,2.25,0.2727272727272727,0.23333333333333334,0.0,0.25461266849649283,0.0219549366490233,0.4909826000909627,0.5265834686890027,0.03830938972118966,0.28571428571428586,0.06429056182310082,0.27764187866927376,0.11689299219493551,0.34942911512844765,0.3149653265418478,0.4944056375594971,0.4311066718577552,0.5265834686890027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.7632527649019598,0.14971033938798606,0.5225048923679061,0.035190614785975384,2.1615652945419885,0.0009139251904222532,0.0007197215574061076,-0.0044722563314607095,0.26575342465753427,0.5,0.25,2.25,0.2727272727272727,0.23333333333333334,0.043478260869565216,0.25461266849649283,0.0219549366490233,0.4874387383998528,0.5293510269090514,0.036227357671125004,0.34207436399217245,0.07004179419066256,0.3324363992172185,0.11337711645413166,0.3754000518553743,0.3099215415833384,0.501260836434443,0.4279949884317122,0.5293510269090514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
